h3_id,percentile,cutoff,access_total_jobs,access_low_wage_jobs,access_middle_wage_jobs,access_high_wage_jobs,lon,lat,network_snapshot,gtfs_snapshot,jobs_year,departure_datetime
88489e3527fffff,50,45,498,72,68,358,-97.66576473002247,30.295513705067965,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2457fffff,50,45,6694,571,1177,4946,-97.76188776127086,30.438963540174463,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e30c5fffff,50,45,123,18,52,53,-97.64972158998025,30.203351977499945,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2429fffff,50,45,219,108,54,57,-97.72101735358969,30.44037155903324,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898db67fffff,50,45,51,5,8,38,-97.87666188637904,30.156671666492787,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e349dfffff,50,45,99,16,34,49,-97.82182858570566,30.336435217095797,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898db39fffff,50,45,102,11,21,70,-97.90367279707496,30.17888910845631,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898db0bfffff,50,45,22,2,0,20,-97.91286715543308,30.163086364191663,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e303bfffff,50,45,5,0,0,5,-97.6237571140092,30.196517545723474,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489eadc9fffff,50,45,60,13,21,26,-97.7681094178806,30.137374214645032,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3441fffff,50,45,153787,15916,24542,113329,-97.77042915580928,30.253241201897083,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489ead9bfffff,50,45,21603,4355,6910,10338,-97.79147051292492,30.182929721424188,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2749fffff,50,45,44020,5700,9988,28332,-97.7105015258818,30.355774013688396,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e271bfffff,50,45,50439,6226,8800,35413,-97.73387693940114,30.401313116068067,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e26edfffff,50,45,67,10,13,44,-97.78594534681662,30.414955737092967,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
